listingid,Lat,Lng,title,formatted_address,url
46976408,31.2074100000,121.4575200000,出门即是永康路，瑞金医院，比邻音乐学院，iapm环贸，田子坊地铁1.10.12号线陕西南路步5分钟,上海市徐汇区天平路街道永嘉路353弄4号南国艺术学院旧址,https://www.airbnb.cn/rooms/46976408
46976815,31.1672200000,121.4353700000,精装Loft,上海市徐汇区漕河泾街道上海银行漕河泾支行办公大楼上海市第八人民医院,https://www.airbnb.cn/rooms/46976815
46980166,31.1685200000,121.4359900000,气象苑温馨家居,上海市徐汇区漕河泾街道气象苑气象苑(龙漕路),https://www.airbnb.cn/rooms/46980166
46979746,31.1871400000,121.4474300000,清新主卧，市中心闹市区，紧邻徐家汇商圈、万体馆、星游城，地铁4号线旁边,上海市徐汇区徐家汇街道零陵路579号佳安公寓,https://www.airbnb.cn/rooms/46979746
46953870,31.1934700000,121.4536600000,徐家汇/肿瘤医院/中山医院/一墙之隔4/7号线地铁口 整租一室 可住4人,上海市徐汇区枫林路街道东安路240弄1-4号小区复旦大学附属肿瘤医院,https://www.airbnb.cn/rooms/46953870
46951898,31.1613100000,121.4331700000,商务居家首选/光大会展/日月光/漕宝路地铁1.12号线，人民广场地铁直达,上海市徐汇区漕河泾街道钦州路钦州大厦,https://www.airbnb.cn/rooms/46951898
46952152,31.1789700000,121.4412000000,滨江绿地购物商城/东安花园地铁7号12号线0距离/近肿瘤医院/龙华寺,上海市徐汇区徐家汇街道上海奥林匹克俱乐部上海体育场,https://www.airbnb.cn/rooms/46952152
46930414,31.1914200000,121.4522500000,东安路肿瘤医院/温馨大两房,上海市徐汇区枫林路街道东安路229号上海安吉斯铭东安汽车销售服务有限公司,https://www.airbnb.cn/rooms/46930414
46907109,31.2104600000,121.4473100000,3038【复兴西路|特色民宿】地铁1号线@聂耳铜像@上海图书馆@常熟路@人民广场@徐家汇,上海市徐汇区湖南路街道愉园复兴西路洋房,https://www.airbnb.cn/rooms/46907109
46907322,31.2108300000,121.4473200000,3048【长租优惠!】聂耳铜像旁，复兴西路花园房，1/7地铁，靠近静安寺徐家汇,上海市徐汇区湖南路街道乌中小区,https://www.airbnb.cn/rooms/46907322
46907851,31.2055000000,121.4408800000,5934【温馨私享】淮海中路地铁站/轻奢二居室60平大客厅/离市中心各景点都很近/闹中取静/交通方便,上海市徐汇区天平路街道中汇花园(吴兴路),https://www.airbnb.cn/rooms/46907851
46888060,31.1827500000,121.4228500000,都市里的屋顶花园（轰趴/生日/度假/团建/烧烤/聚餐的独特场所）,上海市徐汇区田林街道长春社区居委会公安住宅小区(宜山路),https://www.airbnb.cn/rooms/46888060
46885128,31.2156900000,121.4516100000,6378【长租优惠!】音乐学院旁，长乐路花园房，1/7/地铁，直达外滩/陆家嘴/东方明珠,上海市徐汇区湖南路街道延庆路96弄小区延庆路54弄小区,https://www.airbnb.cn/rooms/46885128
46885438,31.2130800000,121.4583600000,1218陕西南路地铁站大两居外滩南京路/田子坊/豫园/九院/瑞金医院/奔驰中心1/10/12号地铁,上海市徐汇区湖南路街道复兴中路1202号新安坊,https://www.airbnb.cn/rooms/46885438
46885909,31.2123200000,121.4541800000,复兴中路法式尖顶老洋房 （长租可优惠）,上海市徐汇区天平路街道复兴中路尚音小区,https://www.airbnb.cn/rooms/46885909
46885909,31.2123200000,121.4541800000,复兴中路法式尖顶老洋房 （长租可优惠）,上海市徐汇区天平路街道复兴中路尚音小区,https://www.airbnb.cn/rooms/46885909
46884617,31.2124700000,121.4444200000,老上海洋房丨魔都网红街丨私人影院露天温泉,上海市徐汇区湖南路街道五福家居五原路252弄1-18号,https://www.airbnb.cn/rooms/46884617
46885476,31.2059400000,121.4502000000,伊间丨环贸IAPM商场|瑞金医院|网红打卡永康路丨地铁直达新天地竹影,上海市徐汇区天平路街道永嘉新村,https://www.airbnb.cn/rooms/46885476
46860101,31.1979200000,121.4656600000,4/9/12号线大木桥路嘉善路地铁站，精装酒店式公寓，随时可看，拎包入住,上海市徐汇区斜土路街道千达名车汇瑞金南苑,https://www.airbnb.cn/rooms/46860101
46860528,31.2123900000,121.4489100000,地铁站步行1-2分钟，近静安寺/南京东路/使馆区的温馨院子,上海市徐汇区湖南路街道愉园,https://www.airbnb.cn/rooms/46860528
46860038,31.1994000000,121.4448100000,1933优秀历史建筑    经历百年的历史变迁,上海市徐汇区天平路街道建工锦江大酒店吴兴路256弄小区,https://www.airbnb.cn/rooms/46860038
46820429,31.1796500000,121.4410700000,11号线+上海游泳馆地铁口463米，可短租，押一付一，24小时健身房,上海市徐汇区徐家汇街道东亚体育文化中心上海体育场,https://www.airbnb.cn/rooms/46820429
46799113,31.2107400000,121.4517800000,【鹿头舍】苍老师的家-距10，12，1号线10分钟百年克莱门等你来。,上海市徐汇区天平路街道克莱门公寓,https://www.airbnb.cn/rooms/46799113
46779157,31.2190400000,121.4553400000,可月租 「方知」.  丁子茶 洋房公寓 | 陕西南路L1.L10.L12,上海市徐汇区湖南路街道新乐路21号襄阳公园,https://www.airbnb.cn/rooms/46779157
46784262,31.2097900000,121.4563000000,【鹿头舍】冥想小行星1，永康路文艺街5分钟到10号线陕西南路，IAPM.,上海市徐汇区天平路街道永康路141弄20号永太小区,https://www.airbnb.cn/rooms/46784262
46766008,31.2122100000,121.4606300000,【枫宿】 老上海石库门 网红永康路 小资咖啡街 梧桐树下温馨民宿近地铁10/12/1/9号线,上海市徐汇区天平路街道陕西南路400号上海理工大学复兴路校区,https://www.airbnb.cn/rooms/46766008
46756464,31.1947900000,121.4617800000,我们在上海的公寓^_^,上海市徐汇区斜土路街道日晖六村,https://www.airbnb.cn/rooms/46756464
46759375,31.2090800000,121.4399900000,[CORNER·湖南]肖战打卡地武康路巴金故居旁·一室一厅一卫·5分钟步行到地铁十号线上海图书馆站,上海市徐汇区湖南路街道湖南街道社区卫生服务中心华康社区卫生服务站湖南别墅,https://www.airbnb.cn/rooms/46759375
46760719,31.1707400000,121.3940800000,地铁口温馨舒适两房一厅,上海市徐汇区虹梅路街道中国标准缝纫机(集团)公司上海惠工缝纫机三厂,https://www.airbnb.cn/rooms/46760719
46739187,31.2095800000,121.4582600000,襄阳南路电竞民宿【襄阳电竞房】陕西南路地铁站/淮海中路成熟商圈/有厨房可做饭/可供四人居住,上海市徐汇区天平路街道永嘉路300弄14号永嘉路300弄小区,https://www.airbnb.cn/rooms/46739187
46721008,31.1908600000,121.4557400000,【白昼之月】4/7东安路地铁口 1楼 新建大楼肿瘤医院一墙之隔 可住4人,上海市徐汇区枫林路街道东安路424号东安二村,https://www.airbnb.cn/rooms/46721008
46699147,31.1958200000,121.4382100000,近徐家汇地铁/港汇恒隆/交通大学/国际妇幼保健院一楼全屋地暖独门进出带院子/可投屏电视,上海市徐汇区徐家汇街道华山路港汇恒隆广场,https://www.airbnb.cn/rooms/46699147
46658123,31.2063400000,121.4564700000,复式loft.比邻瑞金医院音乐学院.iapm环贸广场，永康路，田子坊.淮海中路9号线嘉善路步行5分钟,上海市徐汇区天平路街道建新小区达汇花园,https://www.airbnb.cn/rooms/46658123
46663415,31.1979000000,121.4439900000,【蓝球】[月租金3500]衡山路老洋房，徐家汇公园蓝球场，步行至1号线地铁衡山路站5分钟，近交通大学,上海市徐汇区徐家汇街道宛平路徐家汇公园,https://www.airbnb.cn/rooms/46663415
46663939,31.1995500000,121.4450200000,优秀历史建筑，品味法式生活,上海市徐汇区天平路街道宛平路衡山公园,https://www.airbnb.cn/rooms/46663939
46648337,31.2038900000,121.4487000000,【正常接待】衡山路花园房/投影/烘干机,上海市徐汇区天平路街道乌鲁木齐南路85弄6号永嘉别墅,https://www.airbnb.cn/rooms/46648337
46652250,31.2147000000,121.4581400000,#极简主义# 襄阳路老外街的一室一卫 上海本土蜗居户型的极致改造案例 1，10，12号线陕西南/环贸,上海市徐汇区湖南路街道襄阳南路73号上海市口腔医院分院,https://www.airbnb.cn/rooms/46652250
46636927,31.2007900000,121.4598500000,主卧带独卫，,上海市徐汇区斜土路街道中科新苑,https://www.airbnb.cn/rooms/46636927
46630014,31.1640300000,121.4277100000,日式精装一室一厅/近光大会展中心/日月光/上海师范大学/六人民医院/地铁1、12号线,上海市徐汇区漕河泾街道习勤小区,https://www.airbnb.cn/rooms/46630014
46610221,31.1952100000,121.4597800000,包月特惠   温馨家园，温暖贴心,上海市徐汇区枫林路街道零陵路289弄17号上海市徐汇区青少年水上运动学校,https://www.airbnb.cn/rooms/46610221
46572111,31.1970700000,121.4600100000,豪华两居超大空间 鳄鱼纹家具 银亿茗悦公寓 中山医院4、12号线大木桥站 170平精装配备高清投影仪,上海市徐汇区斜土路街道清真小区,https://www.airbnb.cn/rooms/46572111
46590334,31.1937600000,121.4605300000,包月特惠  悦客之家，温馨家园,上海市徐汇区枫林路街道西木小区,https://www.airbnb.cn/rooms/46590334
46586730,31.2072300000,121.4403300000,近华山医院/华东医院/静安寺一房一厅一楼独门进出,上海市徐汇区湖南路街道湖南路278号湖南别墅,https://www.airbnb.cn/rooms/46586730
46560542,31.2066700000,121.4584200000,每客消毒/无需登记/位于市中心近iapm&音乐学院北欧风格电梯高层公寓近1/9/10/12号线,上海市徐汇区天平路街道达汇花园襄阳南路444弄小区,https://www.airbnb.cn/rooms/46560542
46537415,31.1556200000,121.4213900000,青年公寓01-01家庭影院/上海南站/地铁1.3.12号线/上海师范大学,上海市徐汇区康健新村街道浦北路380号上海市世界外国语小学,https://www.airbnb.cn/rooms/46537415
46551597,31.1562000000,121.4266400000,【青年公寓】105一室一厅设施齐全/近上海南站/中星城家乐福/日月光/地铁1、3号线,上海市徐汇区漕河泾街道沪闵路康宁坊,https://www.airbnb.cn/rooms/46551597
46552070,31.1579600000,121.4283800000,【青年公寓】204一室一厅设施齐全/近上海南站/中星城家乐福/日月光/地铁1、3号线,上海市徐汇区康健新村街道沪闵路9018号康宁坊,https://www.airbnb.cn/rooms/46552070
46551930,31.1566500000,121.4264900000,【青年公寓】203一室一厅设施齐全/近上海南站/中星城家乐福/日月光/地铁1、3号线,上海市徐汇区康健新村街道康宁坊,https://www.airbnb.cn/rooms/46551930
46551683,31.1560600000,121.4273800000,【青年公寓】106一室一厅设施齐全/近上海南站/中星城家乐福/日月光/地铁1、3号线,上海市徐汇区康健新村街道康宁坊,https://www.airbnb.cn/rooms/46551683
46517207,31.1589500000,121.4272400000,上海南站精品6，近上海南站地铁，可住2人，带投影仪，近光大会展/日月光,上海市徐汇区康健新村街道康宁坊上海市中国中学初中部,https://www.airbnb.cn/rooms/46517207
46517740,31.1564400000,121.4278600000,清新明快简约1房，贰，可住2人，带投影仪，近上海南站地铁/光大会展/植物园/日月光,上海市徐汇区康健新村街道康宁坊,https://www.airbnb.cn/rooms/46517740
46518059,31.1587100000,121.4287800000,明快简约1房，叁，可住2人，带投影仪，近上海南站地铁/光大会展/日月光/植物园/上师大,上海市徐汇区漕河泾街道浦北路7号楼中星城,https://www.airbnb.cn/rooms/46518059
46518683,31.1588200000,121.4274800000,阳光，吊椅是我想要的美好，伍，近上海南站地铁/光大会展/日月光/植物园/上师大,上海市徐汇区漕河泾街道沪闵路上海南站,https://www.airbnb.cn/rooms/46518683
46516847,31.1567700000,121.4272800000,上海南站精品公寓3，可以2人，带投影仪,上海市徐汇区康健新村街道康宁坊,https://www.airbnb.cn/rooms/46516847
