listingid,fetch_date,order_date,price,rented
45407506,2021-03-04,2021-05-06,240,True
45407966,,2021-05-06,268,False
45403326,2021-03-04,2021-05-06,498,True
45404602,2021-04-20,2021-05-06,315,True
45387782,2021-05-06,2021-05-06,600,True
45369284,,2021-05-06,666,False
45371814,,2021-05-06,8000,False
45369437,2021-05-06,2021-05-06,534,True
45355388,2021-03-20,2021-05-06,488,True
45355414,,2021-05-06,308,False
45356814,2021-04-08,2021-05-06,182,True
45354503,2021-04-08,2021-05-06,658,True
45338725,2021-04-27,2021-05-06,1298,True
45341117,2021-05-01,2021-05-06,570,True
45318281,,2021-05-06,349,False
45305312,2021-05-06,2021-05-06,600,True
45280793,2021-05-06,2021-05-06,255,True
45295001,2021-04-29,2021-05-06,135,True
45297704,2021-05-06,2021-05-06,338,True
45246347,2021-03-04,2021-05-06,329,True
45260963,2021-05-06,2021-05-06,239,True
45233710,2021-04-26,2021-05-06,169,True
45224365,,2021-05-06,888,False
45208802,2021-03-04,2021-05-06,528,True
45210027,,2021-05-06,508,False
45210337,,2021-05-06,180,False
45195976,2021-03-11,2021-05-06,347,True
45196797,,2021-05-06,300,False
45165244,,2021-05-06,333,False
45164071,2021-04-26,2021-05-06,419,True
45147018,2021-04-11,2021-05-06,248,True
45148042,,2021-05-06,328,False
45164790,,2021-05-06,200,False
45105112,,2021-05-06,388,False
45105663,,2021-05-06,658,False
45092540,2021-04-13,2021-05-06,399,True
45107969,2021-05-05,2021-05-06,185,True
45108549,2021-05-06,2021-05-06,185,True
45108617,,2021-05-06,110,False
45108514,2021-03-04,2021-05-06,358,True
45108465,,2021-05-06,223,False
45092002,,2021-05-06,499,False
45059445,2021-03-04,2021-05-06,355,True
45046254,2021-04-02,2021-05-06,410,True
45056104,,2021-05-06,500,False
45054954,,2021-05-06,500,False
45058299,,2021-05-06,190,False
45059888,2021-04-22,2021-05-06,337,True
45060574,2021-05-04,2021-05-06,200,True
45060364,,2021-05-06,400,False
45064715,2021-04-27,2021-05-06,745,True
45003852,2021-04-11,2021-05-06,248,True
44983831,2021-04-20,2021-05-06,185,True
44972727,2021-04-03,2021-05-06,368,True
44988448,2021-04-20,2021-05-06,185,True
44987867,2021-04-29,2021-05-06,135,True
44836873,2021-05-06,2021-05-06,70,True
44835620,2021-04-28,2021-05-06,368,True
44788829,2021-05-05,2021-05-06,456,True
44736692,2021-05-01,2021-05-06,630,True
44825504,2021-04-08,2021-05-06,258,True
44689897,2021-04-30,2021-05-06,599,True
44690602,2021-03-05,2021-05-06,555,True
44734484,,2021-05-06,700,False
44721893,,2021-05-06,388,False
44697989,,2021-05-06,318,False
44690677,2021-04-22,2021-05-06,316,True
44712852,,2021-05-06,250,False
44666795,,2021-05-06,499,False
44686769,2021-03-05,2021-05-06,605,True
44686723,2021-03-05,2021-05-06,605,True
44687157,,2021-05-06,659,False
44689414,2021-04-14,2021-05-06,699,True
44676165,,2021-05-06,78000,False
44673271,2021-04-08,2021-05-06,206,True
44657979,2021-05-04,2021-05-06,322,True
44648676,2021-05-06,2021-05-06,153,True
44634229,2021-03-31,2021-05-06,580,True
44637689,,2021-05-06,518,False
